piid,agency,vendor,value,description,fpds_status,fpds_link,deleted_date,savings
75D30122C14764,Department of Health and Human Services,CHENEGA ENTERPRISE SYSTEMS & SOLUTIONS LLC,8240157.51,GRANTS MANAGEMENT SUPPORT SERVICES,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30122C14764&modNumber=P00007&idvAgencyID=&idvPIID=&contractType=AWARD,5/2/2025,3463800.44
75N92022F00001,Department of Health and Human Services,BOOZ ALLEN HAMILTON INC.,3442600.72,OCIO RMF BPA NIAID A&A Additional Support Services,EXERCISE AN OPTION,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7529&PIID=75N92022F00001&modNumber=P00007&idvAgencyID=&idvPIID=75N92021A00002&contractType=AWARD,3/24/2025,3442600.72
75N91023F00001,Department of Health and Human Services,"FOUR POINTS TECHNOLOGY, L.L.C.",5505928.51,"DIGITAL SCIENCE'S DIMENSIONS RESEARCH INFORMATION PLATORM SUBSCRIPTION FOR THE NATIONAL INSTITUTES OF HEALTH, INCLUDING PORTFOLIO ANALYSIS AND EVALUATION SUPPORT SERVICES",TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7529&PIID=75N91023F00001&modNumber=P00002&idvAgencyID=&idvPIID=HHSN316201500034W&contractType=AWARD,7/25/2025,3436140.53
75N91023C00003,Department of Health and Human Services,"ASRC FEDERAL TECHNOLOGY SOLUTIONS, LLC",30206398,"COMPUTER RELATED SERVICES: CENTRAL SUPPORT FOR THE NATIONAL CANCER INSTITUTE, CENTER FOR CANCER RESEARCH",CHANGE ORDER,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7529&PIID=75N91023C00003&modNumber=P00004&idvAgencyID=&idvPIID=&contractType=AWARD,6/25/2025,3413250
75D30123F15783,Department of Health and Human Services,GENERAL DYNAMICS INFORMATION TECHNOLOGY INC.,6977921.68,VAERS ENHANCEMENTS,Expired,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30123F15783&modNumber=P00001&idvAgencyID=&idvPIID=47QTCK18D0003&contractType=AWARD,3/24/2025,3333867.48
75N98023F00331,Department of Health and Human Services,THE MITRE CORPORATION,5557345,EQUITY ASSESSMENT OF EXISTING PROGRAM POLICIES OF ACF,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7529&PIID=75N98023F00331&modNumber=P00002&idvAgencyID=&idvPIID=75FCMC18D0047&contractType=AWARD,2/13/2025,3319845
75S20322F80001,Department of Health and Human Services,CAMEO CONSULTING GROUP LLC,6838375,THE PURPOSE OF THIS TASK ORDER IS TO PROVIDE HUMAN RESOURCES SUPPORT AND TECHNICAL EXPERTISE TO THE SUBSTANCE ABUSE AND MENTAL HEALTH SERVICES ADMINISTRATION (SAMHSA).,EXERCISE AN OPTION,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7522&PIID=75S20322F80001&modNumber=P00005&idvAgencyID=&idvPIID=GS00F280DA&contractType=AWARD,2/24/2025,3278614
75D30124F20049,Department of Health and Human Services,BOOZ ALLEN HAMILTON INC.,6353686.6,INFRASTRUCTURE IT SERVICES BRIDGE - BAH,Expired,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30124F20049&modNumber=0&idvAgencyID=&idvPIID=47QTCK18D0004&contractType=AWARD,3/24/2025,3276474.14
75N94021F00177,Department of Health and Human Services,"PALLADIAN PARTNERS, INC.",14933810.52,COMMUNICATION AND OUTREACH SUPPORT ACTIVITIES,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7529&PIID=75N94021F00177&modNumber=P00019&idvAgencyID=&idvPIID=47QRAA21D000E&contractType=AWARD,5/7/2025,3243222.74
75F40124F19009,Department of Health and Human Services,"AE STRATEGIES, LLC",4080548.84,CUSTOM COMPUTER PROGRAMMING SERVICES/SUPPORT- PROFESSIONAL: HUMAN RESOURCES: EXECUTIVE RECRUITMENT BLANKET PURCHASE AGREEMENT,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7524&PIID=75F40124F19009&modNumber=P00001&idvAgencyID=&idvPIID=75F40122A00006&contractType=AWARD,6/12/2025,3240000
75N94023F00167,Department of Health and Human Services,"Results Leadership Group, LLC",3703362.18,"The scope of this requirement is to procure professional services that will further enhance and expand the breadth of NIDDK’s Workforce Matters Program. These services include, but are not limited to, developing program initiatives and strategic management services, and all other tasks identified in this Statement of Work (SOW).",TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7529&PIID=75N94023F00167&modNumber=P00003&idvAgencyID=&idvPIID=GS02F0251X&contractType=AWARD,2/26/2025,3233703.15
75P00124F37004,Department of Health and Human Services,"ROSE LI & ASSOCIATES, INC.",4248009.92,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES: FEDERAL ADVISORY COMMITTEE SUPPORT,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7570&PIID=75P00124F37004&modNumber=P00001&idvAgencyID=&idvPIID=75P00123A00007&contractType=AWARD,7/1/2025,3224964.54
75R60223F80063,Department of Health and Human Services,CROSBY MARKETING COMMUNICATIONS INC.,6521334.77,TELEHEALTH GATEWAY PROMOTIONAL CAMPAIGN.,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7526&PIID=75R60223F80063&modNumber=P00005&idvAgencyID=&idvPIID=47QRAA19D0010&contractType=AWARD,4/17/2025,3188481.71
75D30123C18061,Department of Health and Human Services,"CHICKASAW FEDERAL HEALTH, LLC",9845396.52,MARKETING CONSULTING SERVICES DPH COMMUNICATION SUPPORT,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30123C18061&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=AWARD,3/28/2025,3184223.6
75D30122F13319,Department of Health and Human Services,"ENTERPRISE TECHNOLOGY SOLUTIONS, INC.",5029555.22,ENTERPRISE DATA ALATION SYSTEM,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30122F13319&modNumber=P00003&idvAgencyID=&idvPIID=NNG15SD76B&contractType=AWARD,4/29/2025,3127028.42
75N95023F00001,Department of Health and Human Services,"RIVA SOLUTIONS, INC.",5302175.05,INFORMATION TECHNOLOGY SERVICES AND SUPPORT WITHIN THE NATIONAL INSTITUTE ON AGING.,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7529&PIID=75N95023F00001&modNumber=P00005&idvAgencyID=&idvPIID=75N98120D00070&contractType=AWARD,5/2/2025,3107813.48
75N94024F00123,Department of Health and Human Services,"SCIENTIFIC CONSULTING GROUP, INC, THE",15351473.84,SCIENTIFIC CONFERENCE AND LOGISTICS SUPPORT FOR NATIONAL INSTITUTE OF DIABETES AND DIGESTIVE AND KIDNEY DISEASES,OTHER ADMINISTRATIVE ACTION,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7529&PIID=75N94024F00123&modNumber=P00003&idvAgencyID=&idvPIID=47QRAA21D0033&contractType=AWARD,8/29/2025,3100000
75D30124F20050,Department of Health and Human Services,DELOITTE CONSULTING LLP,6122086.55,HEALTH IT SERVICES BRIDGE - DELOITTE,Expired,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30124F20050&modNumber=0&idvAgencyID=&idvPIID=47QTCK18D0029&contractType=AWARD,3/24/2025,3046403.66
75D30124F19458,Department of Health and Human Services,GUIDEHOUSE INC.,5988566.62,"STRATEGIC AND ORGANIZATIONAL PLANNING, INFRASTRUCTURE, & PROCESS IMPORVEMENT SUPPORT FOR BUILD OUT EXPANSION OF THE NNCSS",TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30124F19458&modNumber=P00003&idvAgencyID=&idvPIID=GS00F045DA&contractType=AWARD,3/12/2025,3045776.05
75F40124F80049,Department of Health and Human Services,GUIDEHOUSE INC.,28912317.77,"INTEGRATED BUDGET AND AQUISITION PLANNING SYSTEM (IBAPS) IT TECHNICAL AND FUNCTIONAL SERVICES; DIVISION OF HEALTHCARE FINANCING POLICY MODULES DEVELOPMENT, MODERNIZATION, AND ENHANCEMENT (DME), PROJECT MANAGEMENT AS WELL AS OPERATIONS&MAINTENANCE SUPPORT",TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7524&PIID=75F40124F80049&modNumber=P00006&idvAgencyID=&idvPIID=GS00F045DA&contractType=AWARD,9/22/2025,3045397.76
75D30124C19198,Department of Health and Human Services,"ASRT, INC.",4464495.4,SUPPORT SERVICES - SUPPORT SERVICES,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30124C19198&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,3/12/2025,3033660.4
75ACF124F80042,Department of Health and Human Services,"BIZZELL GROUP LLC, THE",4158335,Foster Care Awareness,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7590&PIID=75ACF124F80042&modNumber=P00004&idvAgencyID=&idvPIID=47QRAA18D00FZ&contractType=AWARD,2/23/2025,3026297
75N93023C00033,Department of Health and Human Services,MOLECULAR EXPRESS INC,3599784,DEVELOPMENT OF VESIVAX CO-ADJUVANT FORMULATION.,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7529&PIID=75N93023C00033&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,4/17/2025,2999859
75D30124F20283,Department of Health and Human Services,ALPHIDENT TECHNOLOGIES INC,5286571.44,"CUSTOM COMPUTER PROGRAMMING SERVICES: ADMINISTRATIVE SUPPORT, DIVISION OF OVERDOSE PREVENTION",TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30124F20283&modNumber=P00003&idvAgencyID=&idvPIID=47QTCA20D00CD&contractType=AWARD,8/13/2025,2972956.72
75D30124F20134,Department of Health and Human Services,DELOITTE CONSULTING LLP,3999773,DITA SUPPORT SERVICES,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30124F20134&modNumber=P00001&idvAgencyID=&idvPIID=47QRAA18D001P&contractType=AWARD,2/13/2025,2969481
75R60224F80144,Department of Health and Human Services,"ANDREW MORGAN CONSULTING, LLC",3669304.22,STAFF AND ORGANIZATIONAL DEVELOPMENT/PROFESSIONAL DEVELOPMENT STRATEGIC PLANNING,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7526&PIID=75R60224F80144&modNumber=P00002&idvAgencyID=&idvPIID=47QTCA19D00EM&contractType=AWARD,4/16/2025,2962247.2
75FCMC24F0050,Department of Health and Human Services,ARBOR RESEARCH COLLABORATIVE FOR HEALTH,13257204,OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES: END-STAGE RENAL DISEASE QUALITY SUPPORT CONTRACT,EXERCISE AN OPTION,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7530&PIID=75FCMC24F0050&modNumber=P00003&idvAgencyID=&idvPIID=75FCMC18D0016&contractType=AWARD,7/17/2025,2961705
75D30123C17811,Department of Health and Human Services,"GOLDBELT PROFESSIONAL SERVICES, LLC",6548940.8,CONSULTING SERVICES Sexually Transmitted Disease Program,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30123C17811&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=AWARD,5/9/2025,2959680
75D30124C19204,Department of Health and Human Services,"CHEROKEE NATION INTEGRATED HEALTH, L.L.C.",3829663.92,OSER TECHNICAL SUPPORT,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30124C19204&modNumber=P00005&idvAgencyID=&idvPIID=&contractType=AWARD,3/4/2025,2950996.48
75N91023F00001,Department of Health and Human Services,BIMETHODS INCORPORATED,13435759,PRIMARY IT SUPPORT TO THE INFORMATION TECHNOLOGY RESOURCE CENTER,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7529&PIID=75N91023F00001&modNumber=P00004&idvAgencyID=&idvPIID=75N91023A00006&contractType=AWARD,5/2/2025,2948890
75N93019C00059,Department of Health and Human Services,INFECTIOUS DISEASE RESEARCH INSTITUTE,16731358,Multivalent flavivirus vaccine using a flexible replication RNA platform,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7529&PIID=75N93019C00059&modNumber=P00018&idvAgencyID=&idvPIID=&contractType=AWARD,4/28/2025,2947903
75D30122F00002,Department of Health and Human Services,"CHEROKEE NATION OPERATIONAL SOLUTIONS, L.L.C.",6463932.24,DNA PLATING & STORAGE IDIQ,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30122F00002&modNumber=P00005&idvAgencyID=&idvPIID=75D30120D09903&contractType=AWARD,3/5/2025,2945944.52
75FCMC21F0087,Department of Health and Human Services,HENDALL INC.,13333658,NATIONAL IMPLEMENTATION OF THE MEDICARE FEE-FOR-SERVICE CONSUMER ASSESSMENT OF HEALTHCARE PROVIDERS AND SYSTEMS (CAHPS) SURVEY DATA COLLECTION AND DATA FILE PREPARATION,OTHER ADMINISTRATIVE ACTION,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7530&PIID=75FCMC21F0087&modNumber=P00012&idvAgencyID=&idvPIID=47QRAA19D001A&contractType=AWARD,10/2/2025,2924014
75D30123F17358,Department of Health and Human Services,DELOITTE CONSULTING LLP,8480007.11,FISCAL STEWARDSHIP,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30123F17358&modNumber=P00002&idvAgencyID=&idvPIID=GS00Q14OADU113&contractType=AWARD,3/11/2025,2913282.84
75ACF124P00006,Department of Health and Human Services,"KONIAG IT SYSTEMS, LLC",4228805,Hiring Tiger Team (HiTT),TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7590&PIID=75ACF124P00006&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=AWARD,2/23/2025,2895361
75N93022F00005,Department of Health and Human Services,BATTELLE MEMORIAL INSTITUTE,5744120,EVALUATION OF CLINICAL SAMPLES FROM INFLUENZA CLINICAL TRIALS,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7529&PIID=75N93022F00005&modNumber=P00003&idvAgencyID=&idvPIID=75N93018D00013&contractType=AWARD,4/21/2025,2889955
75N92023F00162,Department of Health and Human Services,"STEAMPUNK, INC.",6157852.05,INFORMATION TECHNOLOGY APPLICATIONS DEVELOPMENT SERVICES AND SUPPORT: NATIONAL INSTITUTE OF ARTHRITIS AND MUSCULOSKELETAL AND SKIN DISEASES,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7529&PIID=75N92023F00162&modNumber=P00005&idvAgencyID=&idvPIID=47QTCA20D005E&contractType=AWARD,5/23/2025,2880926.2
75F40124C00092,Department of Health and Human Services,"KAIVA STRATEGIES, LLC",4246242.32,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES DIRECT,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7524&PIID=75F40124C00092&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,4/3/2025,2870925.92
75D30120F00001,Department of Health and Human Services,"CHEROKEE NATION OPERATIONAL SOLUTIONS, L.L.C.",12076513.88,OFR ADMINISTRATIVE&FINANCIAL SUPPORT SERVICES IDIQ,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30120F00001&modNumber=P00012&idvAgencyID=&idvPIID=75D30120D09903&contractType=AWARD,3/5/2025,2841958.22
75F40124F19001,Department of Health and Human Services,"LMI CONSULTING, LLC",3628597.04,TOTAL STAFF AND LEADERSHIP DEVELOPMENT AND HUMAN CAPITAL MANAGEMENT SUPPORT,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7524&PIID=75F40124F19001&modNumber=P00004&idvAgencyID=&idvPIID=75F40123A00011&contractType=AWARD,7/24/2025,2833543.78
75R60222F34003,Department of Health and Human Services,"MATHEMATICA POLICY RESEARCH, INC.",4955958,HEALTH CENTER PROGRAM PROGRESS REPORT EVALUATION STUDIES AND EVALUATION,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7526&PIID=75R60222F34003&modNumber=P00005&idvAgencyID=&idvPIID=75R60219D00014&contractType=AWARD,5/14/2025,2828784
75N95021F00001,Department of Health and Human Services,"ALBANY MOLECULAR RESEARCH, INC.",3416238.2,HEALTH APPLIED RESEARCH: MEDICINAL CHEMISTRY - BASE EXPLORATORY CHEMISTRY (ALZHEIMER'S DISEASE),TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7529&PIID=75N95021F00001&modNumber=P00002&idvAgencyID=&idvPIID=HHSN271201800001I&contractType=AWARD,8/4/2025,2808840.9
75N92024F00001,Department of Health and Human Services,BOOZ ALLEN HAMILTON INC.,5313871.14,NHLBI MS Dynamics Customer Relationship Management Solution,OTHER ADMINISTRATIVE ACTION,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7529&PIID=75N92024F00001&modNumber=P00001&idvAgencyID=&idvPIID=75N92023A00025&contractType=AWARD,3/24/2025,2800000
75N95019F00064,Department of Health and Human Services,"ALBANY MOLECULAR RESEARCH, INC.",3349436.46,EXPLORATORY CHEMISTRY REESEARCH,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7529&PIID=75N95019F00064&modNumber=P00004&idvAgencyID=&idvPIID=HHSN271201800001I&contractType=AWARD,4/30/2025,2793654.14
75N97023F00005,Department of Health and Human Services,BLH TECHNOLOGIES INC,4491780,NIH MEDLINEPLUS DIGITAL MAGAZINE SUPPORT SERVICES,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7529&PIID=75N97023F00005&modNumber=P00002&idvAgencyID=&idvPIID=75N97023A00001&contractType=AWARD,4/28/2025,2767008
75F40125F19008,Department of Health and Human Services,"EAGLE HILL CONSULTING, LLC",3626667.5,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES RAPID - CDER INFORMATICS ENTERPRISE SERVICE AND OPERATION AND WORKFLOW MANAGEMENT SYSTEM O&M,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7524&PIID=75F40125F19008&modNumber=P00001&idvAgencyID=&idvPIID=75F40123A00010&contractType=AWARD,4/4/2025,2765492.4
75N91019F00134,Department of Health and Human Services,"LEIDOS BIOMEDICAL RESEARCH, INC.",35180631,RESEARCH AND DEVELOPMENT MOONSHOT PORTFOLIO,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7529&PIID=75N91019F00134&modNumber=P00028&idvAgencyID=&idvPIID=75N91019D00024&contractType=AWARD,4/30/2025,2733962
75F40124F19001,Department of Health and Human Services,CELEEN LLC,4029465.6,CENTER FOR BIOLOGICS EVALUATION AND RESEARCH (CBER) ADVISORY AND ASSISTANCE SUPPORT SERVICES,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7524&PIID=75F40124F19001&modNumber=P00002&idvAgencyID=&idvPIID=75F40124D00028&contractType=AWARD,9/8/2025,2725824
75D30124F19496,Department of Health and Human Services,"ADG-REI TECHNOLOGY VENTURES, LLC",3333244.73,CDC Chief executive officer (CEO) Customer experience (CX) SUPPORT,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30124F19496&modNumber=P00001&idvAgencyID=&idvPIID=75N98120D00031&contractType=AWARD,5/2/2025,2687112.69
75Q80123F80002,Department of Health and Human Services,MATHEMATICA INC.,7473265,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES DEVELOPMENT OF UPDATED AND ENHANCED DATA PRODUCTS FOR AHRQ'S COMPENDIUM OF U.S. HEALTH SYSTEMS,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7528&PIID=75Q80123F80002&modNumber=P00006&idvAgencyID=&idvPIID=47QRAA18D00BQ&contractType=AWARD,4/15/2025,2685155
75N94024F00149,Department of Health and Human Services,"ACUMEN, LLC",6552721,UROLOGICAL DISEASES IN AMERICA COMPENDIUM FOR NATIONAL INSTITUTE OF DIABETES AND DIGESTIVE AND KIDNEY DISEASES,OTHER ADMINISTRATIVE ACTION,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7529&PIID=75N94024F00149&modNumber=P00002&idvAgencyID=&idvPIID=GS10F0133S&contractType=AWARD,9/2/2025,2670286
75N93024C00006,Department of Health and Human Services,SRI INTERNATIONAL,6607920,DEVELOPMENT OF A NOVEL PLASMA PROTEIN BIOMARKER PANEL FOR A RADIATION/NUCLEAR TRIAGE BIODOSIMETRY DEVICE,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7529&PIID=75N93024C00006&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=AWARD,4/18/2025,2608360
75N91020F00018,Department of Health and Human Services,"LEIDOS BIOMEDICAL RESEARCH, INC.",8395167,NEOANTIGEN VACCINE CLINICAL TRIALS,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7529&PIID=75N91020F00018&modNumber=P00004&idvAgencyID=&idvPIID=75N91019D00024&contractType=AWARD,4/29/2025,2600826
75FCMC23C0049,Department of Health and Human Services,"INTELLIGENT TECHNOLOGY, LLC",4617847.78,ACCESSIBILITY PROGRAM SUPPORT CONTRACTOR,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7530&PIID=75FCMC23C0049&modNumber=P00008&idvAgencyID=&idvPIID=&contractType=AWARD,5/5/2025,2599105.73
75F40123F19004,Department of Health and Human Services,ACCENTURE FEDERAL SERVICES LLC,7132896.49,BUSINESS TRANSFORMATION TEAM (BTT) SUPPORT SERVICES,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7524&PIID=75F40123F19004&modNumber=P00003&idvAgencyID=&idvPIID=75F40121A00001&contractType=AWARD,3/24/2025,2573308.01
75N95024C00021,Department of Health and Human Services,RESEARCH TRIANGLE INSTITUTE,9572707,HEALTH BASIC RESEARCH: ANALYTICAL CHEMISTRY AND STABILITY TESTING OF TREATMENT DRUGS FOR SUBSTANCE USE DISORDERS,CHANGE ORDER,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7529&PIID=75N95024C00021&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,7/25/2025,2555328
75R60222F34004,Department of Health and Human Services,"BIZZELL GROUP LLC, THE",6063387.19,MINORITY SERVING INSTITUTIONS AND COMMUNITY COLLEGES (MSI) TECHNICAL ASSISTANCE INITIATIVE,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7526&PIID=75R60222F34004&modNumber=P00007&idvAgencyID=&idvPIID=75R60219D00045&contractType=AWARD,4/15/2025,2534512.5
75ACF124F80036,Department of Health and Human Services,MATHEMATICA INC.,3996948.07,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES CHILDREN'S BUREAU REGIONAL PARTNERSHIP GRANTS (RPG) INNOVATION PROFESSIONAL SERVICES SUPPORT.,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7590&PIID=75ACF124F80036&modNumber=P00002&idvAgencyID=&idvPIID=47QRAA18D00BQ&contractType=AWARD,4/15/2025,2526067.6
75R60223F80160,Department of Health and Human Services,ATI GOVERNMENT SOLUTIONS LLC,3658182.29,BPHC IT SYSTEMS TRAINING,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7526&PIID=75R60223F80160&modNumber=P00003&idvAgencyID=&idvPIID=47QTCB21D0299&contractType=AWARD,4/21/2025,2524983.38
75ACF121F80029,Department of Health and Human Services,MATHEMATICA INC.,4815765.1,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES SUPPORTING FAMILY ECONOMIC WELL-BEING,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7590&PIID=75ACF121F80029&modNumber=P00010&idvAgencyID=&idvPIID=47QRAA18D00BQ&contractType=AWARD,4/14/2025,2492760.33
75FCMC23F0001,Department of Health and Human Services,Guidehouse Inc,2461704.96,Enterprise Risk Management,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7530&PIID=75FCMC23F0001&modNumber=P00003&idvAgencyID=&idvPIID=75FCMC20A0014&contractType=AWARD,3/24/2025,2461704.96
75D30124C19966,Department of Health and Human Services,STRATIVIA LLC,3133384,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES ADMINISTRATIVE TECHNICAL ASSISTANCE OPERATIONAL MGT,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30124C19966&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,3/28/2025,2451803.2
75N94022F00002,Department of Health and Human Services,"HIGHLIGHT TECHNOLOGIES, INC.",8475215.9,COMMUNICATIONS AND OUTREACH,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7529&PIID=75N94022F00002&modNumber=P00008&idvAgencyID=&idvPIID=75N97019A00002&contractType=AWARD,5/14/2025,2446754
75H70724C00004,Department of Health and Human Services,WARE RIVER CONSULTING LLC,3994224,TEMPORARY HELP SERVICES: THREE MEDICAL LABORATORY TECHNICIANS FOR ACOMA-CANONCITO-LAGUNA INDIAN HEALTH CENTER,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7527&PIID=75H70724C00004&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=AWARD,7/11/2025,2443833.6
75R60222F34001,Department of Health and Human Services,"ABT ASSOCIATES, INC.",5715486,"ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES: STRATEGIC PLAN PROGRESS AND ORGANIZATIONAL TRANSFORMATION, MATERNAL AND CHILD HEALTH BUREAU",TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7526&PIID=75R60222F34001&modNumber=P00009&idvAgencyID=&idvPIID=75R60219D00004&contractType=AWARD,6/12/2025,2389567
75D30121F11821,Department of Health and Human Services,ALLIED TECHNOLOGIES LLC,12217518.72,"MANAGEMENT, HEALTH COMMUNICATION, PROGRAM MANAGEMENT, AND CONSULTING SERVICES",TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30121F11821&modNumber=P00007&idvAgencyID=&idvPIID=47QRAD20D1190&contractType=AWARD,4/22/2025,2389322.21
