date,agency,recipient,value,savings,link,description
3/24/2025,Department of Health and Human Services,"HEALTH, MARYLAND DEPARTMENT OF",205723600,17822939.81,,2019 Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC)
3/23/2025,Department of Health and Human Services,TN ST DEPT OF MNTL HLTH and Substance Abuse Services,25886179,17723673,,SUBSTANCE ABUSE PREVENTION & TREATMENT BLOCK GRANT
3/23/2025,Department of Health and Human Services,"LA ST DEPT OF HLTH & HOSPITALS, OFFICE OF PUBLIC HEALTH",53867739,17433048,,CDC-RFA-IP19-1901 Immunization and Vaccines for Children: Supplemental Funding to Support Bridge Access Program and Vaccine Confidence Activities
3/23/2025,Department of Health and Human Services,"UNIVERSITY OF TEXAS, MEDICAL BRANCH AT GALVESTON",56163625,17314794,,"UTMB-NOVARTIS ALLIANCE FOR PANDEMIC PREPAREDNESS - OVERALL â€“ ABSTRACT PANDEMIC PREVENTION AND PREPAREDNESS IS A MAJOR SCIENTIFIC AND SOCIETAL PRIORITY THAT REQUIRES SUSTAINED AND FORWARD LOOKING INVESTMENTS ACROSS GOVERNMENTAL, NON-GOVERNMENTAL, ACADEMIC AND PRIVATE SECTORS TO DEVELOP AN ARSENAL OF COUNTERMEASURES AGAINST THE EXISTENTIAL THREAT OF VIRAL PANDEMICS. COMBINING WORLD-LEADING BSL3/4 CAPABILITIES AT UNIVERSITY OF TEXAS OF MEDICAL BRANCH (UTMB) AND STATE-OF-THE ART DRUG DISCOVERY TECHNOLOGIES AT NOVARTIS, THE UTMB NOVARTIS ALLIANCE FOR PANDEMIC PREPAREDNESS (UNAPP), IS A UNIQUE AND INNOVATIVE PARTNERSHIP THAT BRINGS TOGETHER THE MULTI-DISCIPLINARY EXPERTISE REQUIRED TO DELIVER HIGH QUALITY ANTIVIRAL DRUG CANDIDATES. ENABLED BY WORLD-LEADING VIROLOGISTS AND SEASONED DRUG HUNTERS, UNAPP WILL AGGRESSIVELY PROSECUTE A PORTFOLIO OF 5 PROJECTS AIMING TO DISCOVER ORALLY AVAILABLE, SAFE, AND EFFECTIVE DRUGS AGAINST CORONAVIRUSES, FLAVIVIRUS AND HENIPAVIRUS, THREE MAJOR CLASSES OF VIRUSES WITH PANDEMIC POTENTIAL. THE PROJECTS PORTFOLIO COMBINES APPROACHES TARGETING WELL VALIDATED DRUG TARGETS, SUCH AS THE RNA- DEPENDENT RNA POLYMERASES AND VIRAL PROTEASES, AS WELL AS PHENOTYPIC SCREENING, WHICH WILL ALLOW FOR THE DISCOVERY OF CLINICAL DRUG CANDIDATES AND NOVEL TARGETS THAT WILL ADVANCE OUR FUNDAMENTAL UNDERSTANDING OF THE BIOLOGY OF THOSE VIRUSES. FOUR SCIENTIFIC CORESâ€”VIROLOGY, HIGH-THROUGHPUT BIOLOGY, DRUG DISCOVERY AND TRANSLATIONAL RESEARCH CORESâ€”WILL PROVIDE TECHNOLOGICAL AND SCIENTIFIC EXPERTISE TO SUPPORT PROJECT TEAMS AND IMPLEMENT THE SCIENTIFIC STRATEGY TOWARD NOVEL ANTIVIRAL DRUGS. THE UNAPP WILL BE GOVERNED BY AN ADMINISTRATIVE CORE WHICH WILL BE CO-LED BY THE PIS, DR. PEI-YONG SHI AND DR. THIERRY DIAGANA, WHO HAVE A LONG TRACK-RECORD OF SUCCESSFULLY WORKING TOGETHER. BOTH PIS HAVE LED MULTIPLE PRODUCTIVE COLLABORATIONS FOCUSED ON TRANSLATIONAL IMPACT AND COMBINING PUBLIC, PRIVATE AND NON-GOVERNMENTAL ORGANIZATIONS. THE ADMINISTRATIVE CORE WILL PROVIDE INTEGRATED DECISION MAKING IN SCIENTIFIC, OPERATIONAL, FINANCIAL, INTELLECTUAL PROPERTY PROTECTION, AND COMMUNICATION. IN COLLABORATION WITH ALL PROJECT AND CORE LEADERS, AS WELL AS WITH EXTERNAL INPUT FROM A SCIENTIFIC ADVISORY BOARD AND NIH PROGRAM OFFICERS, THEY WILL ENSURE THAT THE PROJECTS PORTFOLIO LEVERAGES THE FULL SPECTRUM OF TECHNOLOGIES AND CAPABILITIES RESIDING IN ALL FOUR SCIENTIFIC CORES, CAPTURING SYNERGIES ACROSS PROJECTS THROUGH CROSS-LEARNING AND EFFICIENT DEPLOYMENT OF PLATFORMS RELEVANT TO MULTIPLE VIRUSES. BECAUSE OF THE UNIQUE COMPLEMENTARITY OF THE SCIENTIFIC CORES AND THE REMARKABLE SYNERGIES OF THE PROJECT PORTFOLIO, WE FULLY EXPECT THAT THE UNAPP WILL YIELD EXCEPTIONAL PRODUCTIVITY AND DELIVER ALL THE PROPOSED OBJECTIVES: (1) DELIVER 3 IND-READY CANDIDATES AND 3 DEVELOPMENT CANDIDATES, (2) ADVANCE ANTIVIRAL RESEARCH, AND (3) TRAIN NEXT-GENERATION DRUG HUNTERS."
3/23/2025,Department of Health and Human Services,STATE OF OHIO - DEPARTMENT OF HEALTH,139832817,17232818,,CDC-RFA-IP19-1901 Immunization and Vaccines for Children
3/24/2025,Department of Health and Human Services,Washington State Department of Health,38160000,17144782.8,,Immunization and Vaccines for Children
3/24/2025,Department of Health and Human Services,ME ST DEPARTMENT OF HUMAN SERVICES,27311557,16987678.09,,Immunization and Vaccines for Children
3/23/2025,Department of Health and Human Services,DEPARTMENT OF HUMAN SERVICES COLORADO,23406309,16944034,,SUBSTANCE ABUSE PREVENTION & TREATMENT BLOCK GRANT
3/23/2025,Department of Health and Human Services,WY ST DEPARTMENT OF HEALTH,30721500,16558449,,Wyoming Immunization and Vaccines for Children
3/23/2025,Department of Health and Human Services,CO ST DEPARTMENT OF INSTITUTIONS,28051679,16483670,,BLOCK GRANTS FOR COMMUNITY MENTAL HEALTH SERVICES
3/23/2025,Department of Health and Human Services,HACKENSACK MEDICAL CENTER,65141731,16434139,,"METROPOLITAN ANTIVIRAL DRUG ACCELERATOR - ABSTRACT THE COVID-19 PANDEMIC CAUSED BY SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2 (SARS-COV-2) HAS RESULTED IN MILLIONS OF DEATHS WORLDWIDE. NOVEL VACCINES AGAINST SARS-COV-2 HAVE ALTERED THE PANDEMICâ€™S TRAJECTORY. YET, LARGE POPULATIONS REMAIN AT RISK, AND IMMUNE ESCAPE VIRUS VARIANTS THREATEN TO THWART VACCINE ACTION OR CURRENT THERAPIES. NEW SMALL MOLECULE ANTIVIRAL DRUGS AVAILABLE AS ORAL TREATMENTS IN THE OUTPATIENT SETTING ARE NEEDED TO TREAT SARS-COV-2 INFECTIONS, OTHER CORONAVIRUSES, AND ADDITIONAL VIRUSES OF PANDEMIC CONCERN. COVID-19 HAS HELPED REJOIN LARGE PHARMA IN ANTI-INFECTIVE DRUG DEVELOPMENT BUT THERE REMAINS A GAP IN THE EARLY DRUG DISCOVERY PHASE, WHICH CAN BE MET BY ACADEMIC SCIENTISTS ENGAGED IN DRUG DISCOVERY THROUGH SUCCESSFUL PARTNERSHIP WITH INDUSTRY. ACADEMIC GROUPS HAVE GREAT BIOLOGICAL INSIGHTS AND PLATFORMS FOR NOVEL DISCOVERY RESULTING IN IDENTIFICATION OF NEW TARGETS, HITS, AND LEADS. YET, THEY RARELY HAVE THE WAYS OR MEANS TO OPTIMIZE COMPOUNDS AND ADVANCE THEM FOR CLINICAL DEVELOPMENT. WE HYPOTHESIZE THAT AN EFFECTIVE PUBLIC-PRIVATE PARTNERSHIP CAN BRIDGE THIS GAP AND HAVE CREATED THE METROPOLITAN ANTIVIRAL DRUG ACCELERATOR (MAVDA). IT IS AN UNPRECEDENTED COLLABORATIVE ENTERPRISE OF ACADEMIC AND PHARMA PARTNERS IN NEW YORK CITY AND NORTHERN NEW JERSEY BROUGHT TOGETHER IN A COMMON DISCOVERY ECOSYSTEM TO ADDRESS THE URGENT NEED FOR VALIDATED SMALL-MOLECULE ANTIVIRAL DRUGS. MAVDA COMBINES WORLD-CLASS VIROLOGISTS AND ACADEMIC DRUG DISCOVERY RESEARCHERS FROM ROCKEFELLER UNIVERSITY, COLUMBIA UNIVERSITY AND MEMORIAL SLOAN- KETTERING CANCER CENTER IN NEW YORK CITY AND THE CENTER FOR DISCOVERY AND INNOVATION AND RUTGERS UNIVERSITY IN NEW JERSEY WITH PROVEN ANTIVIRAL DRUG DEVELOPERS AT MERCK & CO., INC., THE TRI-INSTITUTIONAL THERAPEUTICS DISCOVERY INSTITUTE (TRI-I TDI)-TAKEDA PHARMACEUTICALS, AND ALIGOS THERAPEUTICS, AS A COHESIVE ENTERPRISE TO DELIVER NEW ANTIVIRAL DRUGS. A CRITICAL INNOVATION OF THE ACCELERATOR IS THE ESTABLISHMENT OF AN EXTENSIVE AND INTEGRATED NETWORK OF PHARMA-STYLE SCIENCE CORES WITH HIGHLY EXPERIENCED CORE DIRECTORS, WHICH ENSURES THAT COMPOUND IDENTIFICATION AND OPTIMIZATION PROCEEDS EFFICIENTLY. STANDARDIZED THRESHOLD â€œGATINGâ€ METRICS FOR COMPOUND PROGRESSION WITH CLEAR â€˜GO/NO GOâ€™ CRITERIA WILL BE ESTABLISHED TO SUPPORT DEVELOPMENT OF QUALIFIED DRUG CANDIDATES. MAVDA PROJECTS UNITE ACADEMIC AND INDUSTRY INVESTIGATORS WITH INNOVATIVE AND WELL-ESTABLISHED DRUG DISCOVERY PLATFORMS WITH A STRONG EMPHASIS ON VALIDATED TARGETS LIKE 3CLPRO, BUT ALSO EXPLOIT OTHER IMPORTANT TARGETS LIKE NSP14 AND NSP16 MTASE, EXON, PLPRO, NSP13 HELICASE, RDRP, AS WELL AS NOVEL TARGETS. PROMISING HITS, EARLY LEADS, AND OPTIMIZED LEADS AT OR NEAR THE IND ENABLING/DE-RISKING STAGE ARE REPRESENTED, ALONG WITH INNOVATIVE APPROACHES FOR NEW NATURAL PRODUCT DISCOVERY. ALL PROGRAMS TARGET SARS-COV-2 BUT ALSO ADDRESS OTHER CORONAVIRUSES, FLAVIVIRUSES AND/OR ALPHAVIRUSES. MAVDA IS ROBUST, EASILY ACCOMMODATES DEVELOPMENTAL PROJECTS AND NEW VIRUS CHALLENGES, AND IT IS AN IDEAL ENVIRONMENT FOR TRAINING THE NEXT GENERATION OF SCIENTISTS FOR DRUG DISCOVERY AND PANDEMIC PREPAREDNESS."
3/23/2025,Department of Health and Human Services,VA Dept of Behavioral Health and Developmental Services,33982454,16394489,,SUBSTANCE ABUSE PREVENTION & TREATMENT BLOCK GRANT
3/23/2025,Department of Health and Human Services,AL ST DEPARTMENT OF MENTAL HEALTH & MENTAL RETARDATION,20632249,16243632,,BLOCK GRANTS FOR COMMUNITY MENTAL HEALTH SERVICES
3/23/2025,Department of Health and Human Services,IA ST DEPARTMENT OF PUBLIC HEALTH,100843972,16131382,,CK19-1904 Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC)
3/23/2025,Department of Health and Human Services,MS ST DEPARTMENT OF HEALTH,24124813,16013446,,CDC-RFA-IP19-1901 Immunization and Vaccines for Children
3/23/2025,Department of Health and Human Services,UNIVERSITY OF MINNESOTA,66431207,15818441,,"MIDWEST AVIDD CENTER - PROJECT 5 â€“ PANDEMIC VIRUS HELICASE INHIBITORS ABSTRACT THE GOAL OF THIS PROJECT IS TO DEVELOP PAN-FAMILY, ANTIVIRAL DRUG CANDIDATES TARGETING THE VIRAL HELICASE OF CORONAVIRUS AND FLAVIVIRUS. ALL PRIORITY RNA VIRUSES ENCODE A VIRAL HELICASE DOMAIN IN THEIR GENOMES, AND THEY SHARE HIGH SIMILARITY IN STRUCTURE AND BIOCHEMICAL FEATURES. VIRAL RNA HELICASE IS A CRITICAL COMPONENT OF THE VIRAL REPLICASE COMPLEX AND IS ESSENTIAL FOR RNA VIRUS REPLICATION. FURTHER, IT SHOWS A HIGH SEQUENCE HOMOLOGY WITHIN THE VIRUS FAMILY (E.G., 100% IDENTITY WITHIN SARS2). CONSEQUENTLY, VIRAL RNA HELICASES CAN SERVE AS A NOVEL ANTIVIRAL TARGET FOR RNA VIRUSES WITH A HIGH BARRIER TO DRUG RESISTANCE. DURING THE PAST 10 YEARS, THE CHUNG LAB HAS MADE SIGNIFICANT CONTRIBUTIONS TO THE DEVELOPMENT OF ANTIVIRALS TARGETING THE ALPHAVIRUS HELICASE DOMAIN (NSP2) AND VALIDATED VIRAL HELICASE AS DRUGGABLE FOR DEVELOPING POTENT ANTIVIRALS. BASED ON THIS SUCCESS, WE HYPOTHESIZE THE VIRAL HELICASE CAN SERVE AS A VALID TARGET FOR SAFE AND EFFECTIVE ANTIVIRALS FOR SARS2 AND OTHER PRIORITY RNA VIRUSES. HERE, WE PROPOSE A COMPREHENSIVE ANTIVIRAL DISCOVERY CAMPAIGN TARGETING VIRAL HELICASE WITH A MULTI-DISCIPLINARY APPROACH COMBINING ULTRA-HIGH-THROUGHPUT SCREENING AND DNA-ENCODED CHEMISTRY TECHNOLOGY FOLLOWED BY A ROBUST HIT VALIDATION SCHEME WITH ANTIVIRAL TESTING, STRUCTURAL BIOLOGY, AND BIOCHEMICAL APPROACHES (AIM 1). FURTHER, WE PROPOSE TO ADVANCE PROMISING VIRAL HELICASE INHIBITOR HITS THROUGH HIT-TO-LEAD DEVELOPMENT, GIVING VALIDATED LEADS AS DRUG DEVELOPMENT CANDIDATES WITH MEDICINAL CHEMISTRY PAIRED WITH AI-BASED DRUG DESIGN, DMPK STUDIES, AND IN VIVO ANTIVIRAL EFFICACY STUDIES (AIM 2). FINALLY, WE WILL DELIVER 1-2 ORALLY BIOAVAILABLE, PATENTABLE, DRUGLIKE IND-ENABLED SMALL MOLECULES (A DEVELOPMENT CANDIDATE + BACKUP) THAT ARE WELL-SUITED FOR TRANSLATION BY A PHARMA PARTNER (AIM 3). OUR PROPOSAL IS SUPPORTED BY OUR DISCOVERY OF A NOVEL HIT COMPOUND (UNC0379) WITH AN ANTI-SARS2 ACTIVITY FROM A PILOT 100,000-COMPOUND LIBRARY SCREEN (CORE B). THE PI AND ESTABLISHED TEAM (CHUNG, VIROLOGY/PI; BANNISTER, MED. CHEM/DEPUTY; SPICER, UHTS; LUO, STRUCTURAL BIOLOGY OF VIRAL REPLICASE; RANEY, HELICASE BIOCHEMISTRY) SYNERGISTICALLY COMBINE ANTIVIRAL DRUG DISCOVERY (HEAD-GORDON, COMPCHEM/AI) WITH EXCELLENT CORE SUPPORT (CORE B AND CORE C). OUR EFFORT WILL DELIVER NEW CLASSES OF DIRECT HELICASE-TARGETING ANTIVIRAL AGENTS FOR SARS2 INFECTION AND OTHER HIGH PRIORITY VIRAL PATHOGENS."
3/23/2025,Department of Health and Human Services,STATE OF OHIO - DEPARTMENT OF HEALTH,60203963,15765895,,CDC-RFA-IP19-1901 Immunization and Vaccines for Children
3/23/2025,Department of Health and Human Services,AK ST DHSS,53127495,15705324,,Alaska DPH: Building Epidemiology and Laboratory Capacity
3/24/2025,Department of Health and Human Services,"HEALTH, MARYLAND DEPARTMENT OF",31137889,15690555.63,,Immunization and Vaccines for Children
3/24/2025,Department of Health and Human Services,IL  ST  DEPT OF PUBLIC HEALTH,15212480,15133796.9,,Immunization and Vaccines for Children
3/21/2025,Department of Health and Human Services,FLORIDA STATE UNIVERSITY,36023354,14909533.57,https://usaspending.gov/award/ASST_NON_UM2HD111102_7529,Adolescent Medicine Trials Network for HIV/AIDS Interventions (ATN) Scientific Leadership Center
3/24/2025,Department of Health and Human Services,"OR ST DEPARTMENT OF HUMAN RESOURCES, HEALTH DIVISION",86954065,14878047.21,,2019 Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC)
3/24/2025,Department of Health and Human Services,RI ST DEPARTMENT OF HEALTH,27680811,14774499.61,,Immunization and Vaccines for Children
3/23/2025,Department of Health and Human Services,"NC ST DEPT OF HUMAN RESOURCES, DIV OF MH/MR & SUBSTANCE",41535246,14628469,,BLOCK GRANTS FOR COMMUNITY MENTAL HEALTH SERVICES
3/23/2025,Department of Health and Human Services,MICHIGAN DEPARTMENT OF HEALTH AND HUMAN SERVICES,45374413,14622857,,SUBSTANCE ABUSE PREVENTION & TREATMENT BLOCK GRANT
3/24/2025,Department of Health and Human Services,MICHIGAN DEPARTMENT OF HEALTH AND HUMAN SERVICES,94618379,14345491.69,,Immunization and Vaccines for Children
3/23/2025,Department of Health and Human Services,FL ST DEPARTMENT OF CHILDREN AND FAMILIES,90160803,14341247,,SUBSTANCE ABUSE PREVENTION & TREATMENT BLOCK GRANT
3/23/2025,Department of Health and Human Services,Departamento De Salud Oficial,68654541,14134442,,Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC)
3/23/2025,Department of Health and Human Services,NEW YORK UNIVERSITY MEDICAL CENTER,33203136,13966992,,"OTA-21-015A Post-Acute Sequelae of SARS-CoV-2 Infection Initiative: NYU Langone Health Clinical Science Core, Data Resource Core, and PASC Biorepository Core"
3/23/2025,Department of Health and Human Services,"HEALTH AND HUMAN SERVICES, NEW HAMPSHIRE DEPT OF",25404937,13765875,,CDC-RFA-IP19-1901 Immunization and Vaccines for Children
3/24/2025,Department of Health and Human Services,DE ST DEPARTMENT OF HEALTH & SOCIAL SERVICES,56048281,13687012.7,,2019 Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC)
3/23/2025,Department of Health and Human Services,Health Care Authority,30586435,13637136,,SUBSTANCE ABUSE PREVENTION & TREATMENT BLOCK GRANT
3/23/2025,Department of Health and Human Services,"HEALTH, MARYLAND DEPARTMENT OF",27587522,13604449,,SUBSTANCE ABUSE PREVENTION & TREATMENT BLOCK GRANT
3/23/2025,Department of Health and Human Services,IN ST DEPARTMENT OF MENTAL HEALTH,26102993,13570039,,SUBSTANCE ABUSE PREVENTION & TREATMENT BLOCK GRANT
3/24/2025,Department of Health and Human Services,IL  ST  DEPT OF PUBLIC HEALTH,51390254,13418468.56,,Immunization and Vaccines for Children
3/24/2025,Department of Health and Human Services,DE ST DEPARTMENT OF HEALTH & SOCIAL SERVICES,67436696,13315045.92,,2019 Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC)
3/23/2025,Department of Health and Human Services,NH ST DEPARTMENT OF HEALTH & HUMAN SERVICES,61056792,13201985,,"Epidemiology and Laboratory Capacity for Infectious Diseases (ELC) - Building and Strengthening Epidemiology,Laboratory and Health Information Systems Capacity in State and Local Health Departments"
3/23/2025,Department of Health and Human Services,"HEALTH, MARYLAND DEPARTMENT OF",31943446,13013214,,SUBSTANCE ABUSE PREVENTION & TREATMENT BLOCK GRANT
3/23/2025,Department of Health and Human Services,OREGON HEALTH AUTHORITY,22640725,12809343,,BLOCK GRANTS FOR COMMUNITY MENTAL HEALTH SERVICES
3/23/2025,Department of Health and Human Services,"HEALTH AND WELFARE, IDAHO DEPARTMENT OF",23900194,12679238,,The implementation of activities designed to increase immunization levels and to reduce morbidity and mortality caused by vaccine preventable disease.
3/24/2025,Department of Health and Human Services,WI ST DEPARTMENT OF HEALTH & SOCIAL SERVICES,68008240,12666279.81,,Immunization and Vaccines for Children
3/23/2025,Department of Health and Human Services,Duke University,21469057,12609225,,CENTER FOR INNOVATIVE TRIALS IN CHILDREN AND ADULTS (TRIDENT)
3/23/2025,Department of Health and Human Services,TX ST DEPARTMENT OF HEALTH,31249900,12544059,,June 2023 Supplemental Funding Programs: HHS Bridge Access and Vaccine Confidence
3/23/2025,Department of Health and Human Services,MN ST DEPARTMENT OF HUMAN SERVICES,21622115,12400155,,BLOCK GRANTS FOR COMMUNITY MENTAL HEALTH SERVICES
3/23/2025,Department of Health and Human Services,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,67452049,12347604,,"QCRG PANDEMIC RESPONSE PROGRAM - QCRG PANDEMIC RESPONSE PROGRAM OVERALL SUMMARY THE QCRG (QUANTITATIVE BIOSCIENCES INSTITUTE CORONAVIRUS RESEARCH GROUP) PANDEMIC RESPONSE PROGRAM IS AN INTERDISCIPLINARY PROGRAM THAT AIMS TO IDENTIFY NEW DIRECT-ACTING ANTIVIRALS FOR SARS-COV-2 AND 19 OTHER VIRUSES. THE PROPOSAL BRINGS TOGETHER A TEAM OF 45 INVESTIGATORS FROM 14 DIFFERENT INSTITUTIONS WITH A HISTORY OF COLLABORATION; 31 OF THESE HAVE CO-PUBLISHED TOGETHER ON 25 PAPERS ON SARS-COV-2,1â€“25 EFFORTS THAT HAVE LAID A STRONG FOUNDATION FOR THE QCRG PANDEMIC RESPONSE PROGRAM. INITIALLY, WE WILL FOCUS ON EIGHT TARGET CLASSES FROM EIGHT VIRAL FAMILIES (CORONAVIRIDAE, PICORNAVIRIDAE, TOGAVIRIDAE, FLAVIVIRIDAE, HANTAVIRIDAE, ARENAVIRIDAE, NAIROVIRIDAE AND PARAMYXOVIRIDAE), INCLUDING SEVEN CORONAVIRUSES, WITH A FOCUS ON SARS-COV-2, WHERE THE VIRAL RNA AND 12 PROTEINS WILL BE TARGETED. IN ADDITION TO THE SARS-COV-2 RNA (PROJECT 1), WE WILL TARGET THE NSP3 PLP AND NSP5 MPRO PROTEASES (PROJECT 2); THE NSP3 MACRODOMAIN (PROJECT 5); THE RDRP POLYMERASE, NSP7, NSP8 AND NSP12 (PROJECT 2) THE STRUCTURAL PROTEINS E (PROJECT 3), N (PROJECT 6) AND M (PROJECTS 3 AND 6); THE METHYLTRANSFERASES NSP10/16 AND NSP14 (PROJECT 4); AND THE ACCESSORY PROTEIN INVOLVED IN REGULATING THE IMMUNE RESPONSE, ORF9B (PROJECT 6). ALTHOUGH WE WILL FOCUS ON SARS-COV-2, RELATED PROTEINS FROM 19 OTHER VIRUSES WILL ALSO BE TARGETED. USING THE QCRG DRUG DISCOVERY PLATFORM, WE WILL PERFORM SCREENS ON THESE TARGETS, INVOLVING FRAGMENT CAMPAIGNS, VIRTUAL LIBRARY DOCKING, AND HIGH-THROUGHPUT SCREENS, TO DISCOVER INHIBITORS, WHICH WILL BE OPTIMIZED USING CYCLES OF DESIGN, STRUCTURE DETERMINATION, AND TESTING. IN VITRO AND IN VIVO PHARMACOKINETICS AS WELL AS ACTIVITY IN CELLULAR AND MOUSE MODELS OF INFECTION WILL BE CARRIED OUT, FOLLOWED BY STUDIES INVOLVING ORAL BIOAVAILABILITY, CLEARANCE, PERMEABILITY, SOLUBILITY, METABOLIC LIABILITIES, TOXICITY AND EFFICACY. THE FINAL GOAL OF EACH PROJECT IS AN OPTIMIZED LEAD READY FOR CLINICAL DEVELOPMENT AT ROCHE (SEE LETTER OF SUPPORT FROM DR. JOHN YOUNG, HEAD OF INFECTIOUS DISEASES) AND OTHER INDUSTRY PARTNERS. THROUGHOUT, WE WILL EXPLOIT AN INTEGRATED SUITE OF EXPERIMENTAL AND COMPUTATIONAL TECHNOLOGIES PROVIDED BY EIGHT CORES. THE BIOCHEMISTRY CORE WILL PROVIDE PURIFIED MATERIAL FOR THE SCREENING CORE, WHILE THE STRUCTURES OF TARGETS AND COMPOUNDS WILL BE DETERMINED THROUGH THE CRYO-EM, CRYO-ET AND CRYSTALLOGRAPHY CAPABILITIES OF THE STRUCTURAL BIOLOGY CORE. STATE-OF-THE-ART MASS SPECTROMETRY IN THE PROTEOMICS CORE WILL PROVIDE MECHANISTIC INSIGHT INTO THE EFFECTS OF COMPOUNDS ON THEIR TARGETS. THE MEDICINAL CHEMISTRY CORE WILL OPTIMIZE POTENT ON- TARGET COMPOUNDS AND WORK CLOSELY WITH THE IN VITRO VIROLOGY CORE AND IN VIVO VIROLOGY CORE TO MEASURE AND OPTIMIZE ANTIVIRAL ACTIVITY. THE INTEGRATIVE MODELING CORE WILL PROVIDE COMPUTATIONAL SUPPORT TO STRUCTURE DETERMINATION AND INHIBITOR DISCOVERY THROUGHOUT THE QCRG DRUG DISCOVERY PLATFORM. THE ADMINISTRATIVE CORE WILL PROVIDE LEADERSHIP, HELP TO FOSTER A COLLABORATIVE ENVIRONMENT, AND MANAGE THE MENTORED PROJECTS AND THE DEVELOPMENTAL RESEARCH PROJECTS, WHICH WILL BRING IN NEW INVESTIGATORS."
3/23/2025,Department of Health and Human Services,FL ST DEPT OF HLTH,21353906,12150321,,CDC-RFA-IP19-1901 Immunization and Vaccines for Children
3/23/2025,Department of Health and Human Services,AK ST DEPARTMENT OF HEALTH & SOCIAL SERVICES,29534225,11964253,,"CDC-RFA-IP19-1901 Immunization and Vaccines for Children, IIS Modernization Supplemental Funding"
3/23/2025,Department of Health and Human Services,"HEALTH, LOUISIANA DEPARTMENT OF",20258730,11859991,,SUBSTANCE ABUSE PREVENTION & TREATMENT BLOCK GRANT
3/24/2025,Department of Health and Human Services,"Health Research, Inc.",33726393,11773799.45,,"National Initiative to Address COVID-19 Health Disparities Among Populations at High-Risk and Underserved, Including Racial and Ethnic Minority Populations and Rural Communities"
3/23/2025,Department of Health and Human Services,AL ST DEPARTMENT OF PUBLIC HEALTH,25253541,11685872,,CDC-RFA-IP19-1901 Immunization and Vaccines for Children
3/24/2025,Department of Health and Human Services,MN ST DEPARTMENT OF HEALTH,67775317,11667662,,Immunization and Vaccines for Children
3/23/2025,Department of Health and Human Services,WY ST DEPARTMENT OF HEALTH,38345368,11667151,,"Wyoming Initiative to Address COVID-19 Health Disparities Among Populations at High-Risk and Underserved, Including Racial and Ethnic Minority Populations and Rural Communities"
3/24/2025,Department of Health and Human Services,RI ST DEPARTMENT OF HEALTH,60975106,11529794.46,,2019 Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC)
3/23/2025,Department of Health and Human Services,"HEALTH, MARYLAND DEPARTMENT OF",27809755,11458143,,BLOCK GRANTS FOR COMMUNITY MENTAL HEALTH SERVICES
3/23/2025,Department of Health and Human Services,VA ST DEPARTMENT OF HEALTH,43961646,11230713,,CDC-RFA-IP19-1901 Immunization and Vaccines for Children
3/23/2025,Department of Health and Human Services,AL ST DEPARTMENT OF PUBLIC HEALTH,40452096,11083127,,"AL Initiative to Address COVID-19 Health Disparities Among Populations at High Risk and Underserved, Including Racial and Ethnic Minority Populations and Rural Communities"
3/23/2025,Department of Health and Human Services,"UNIVERSITY OF CALIFORNIA-LOS ANGELES, BOARD OF REGENTS",20566378,11037173,,"Abstract This supplement will support ACTIV-2D ACTIV-2D is a master protocol to evaluate the safety and efficacy of investigational agents for the treatment of symptomatic non-hospitalized adults with SARS-CoV-2 infection. The protocol is a phase III multicenter, randomized, double blind trial to evaluate the safety and efficacy of S-217622 for the treatment of symptomatic high-risk non-hospitalized adults with SARS-CoV-2 infection. The primary outcome is to determine if the investigational agent (S-217622) will prevent the composite endpoint of hospitalization due to any cause or death due to any cause through study Day 29. Hospitalization is defined as ≥24 hours of acute care, in a hospital or similar acute care facility, including Emergency Rooms or temporary facilities instituted to address medical needs of those with severe coronavirus disease 2019 (COVID-19) during the COVID-19 pandemic."
